lat,lon,alt,date,device,os,version
40.7219367,-74.0045629,0,9/26/13 22:52,samsung d2att,4.1.1,1
40.7225995,-74.0009609,0,9/26/13 23:02,samsung d2att,4.1.1,1
40.7229199,-73.998594,0,9/26/13 23:12,samsung d2att,4.1.1,1
40.7300847,-73.9928846,0,9/26/13 23:32,samsung d2att,4.1.1,1
40.7307285,-73.9908213,0,9/27/13 2:52,samsung d2att,4.1.1,1
40.7311283,-73.9841933,0,9/27/13 3:02,samsung d2att,4.1.1,1
40.7310545,-73.9818306,0,9/27/13 3:12,samsung d2att,4.1.1,1
40.7332965,-73.9899829,0,9/27/13 3:22,samsung d2att,4.1.1,1
40.735953,-73.9907973,0,9/27/13 3:32,samsung d2att,4.1.1,1
40.7430562,-73.9886022,0,9/27/13 3:52,samsung d2att,4.1.1,1
40.7641301,-73.9227317,0,9/27/13 4:12,samsung d2att,4.1.1,1
40.771171,-73.9154679,0,9/27/13 4:22,samsung d2att,4.1.1,1
40.7778274,-73.9197389,0,9/27/13 4:32,samsung d2att,4.1.1,1
40.7753506,-73.9143731,0,9/27/13 20:32,samsung d2att,4.1.1,1
40.7628404,-73.9231621,0,9/27/13 20:42,samsung d2att,4.1.1,1
40.7298159,-73.9934737,0,9/27/13 21:12,samsung d2att,4.1.1,1
40.7301855,-73.994459,0,9/27/13 21:32,samsung d2att,4.1.1,1
40.7306595,-73.9953858,0,9/27/13 21:42,samsung d2att,4.1.1,1
40.7296542,-73.9935968,0,9/27/13 21:52,samsung d2att,4.1.1,1
40.7299706,-73.9935161,0,9/27/13 23:12,samsung d2att,4.1.1,1
40.7303671,-73.9980148,0,9/27/13 23:22,samsung d2att,4.1.1,1
40.702168,-73.9868144,0,9/28/13 0:02,samsung d2att,4.1.1,1
40.7103143,-73.9868245,0,9/28/13 0:22,samsung d2att,4.1.1,1
40.702168,-73.9868144,0,9/28/13 0:32,samsung d2att,4.1.1,1
40.7068741,-73.994556,0,9/28/13 0:52,samsung d2att,4.1.1,1
40.702168,-73.9868144,0,9/28/13 1:02,samsung d2att,4.1.1,1
40.705183,-73.9986377,0,9/28/13 1:22,samsung d2att,4.1.1,1
40.7086605,-73.9884265,0,9/28/13 1:32,samsung d2att,4.1.1,1
40.7293807,-74.001116,0,9/28/13 2:02,samsung d2att,4.1.1,1
40.7561094,-73.9685795,0,9/28/13 3:57,samsung d2att,4.1.1,1
40.7487123,-73.936667,0,9/28/13 4:07,samsung d2att,4.1.1,1
40.771171,-73.9154679,0,9/28/13 4:17,samsung d2att,4.1.1,1
40.7764948,-73.9146928,0,9/28/13 4:27,samsung d2att,4.1.1,1
40.7778397,-73.9197683,0,9/28/13 4:37,samsung d2att,4.1.1,1
40.776978,-73.91662962,-15.89999962,9/28/13 17:22,samsung d2att,4.1.1,1
40.774844,-73.9136342,0,9/28/13 17:27,samsung d2att,4.1.1,1
40.7711581,-73.9154753,0,9/28/13 17:37,samsung d2att,4.1.1,1
40.7628385,-73.9231597,0,9/28/13 17:47,samsung d2att,4.1.1,1
40.7450144,-73.9882227,0,9/28/13 18:07,samsung d2att,4.1.1,1
40.7300835,-73.9928896,0,9/28/13 18:17,samsung d2att,4.1.1,1
40.7298031,-73.9933564,0,9/28/13 18:27,samsung d2att,4.1.1,1
40.7711581,-73.9154753,0,9/29/13 1:57,samsung d2att,4.1.1,1
40.7324519,-73.9231238,0,9/29/13 2:07,samsung d2att,4.1.1,1
40.7171341,-73.983548,0,9/29/13 2:17,samsung d2att,4.1.1,1
40.7210454,-73.992205,0,9/29/13 2:37,samsung d2att,4.1.1,1
40.72207979,-73.99320779,24.29999924,9/29/13 3:04,samsung d2att,4.1.1,1
40.7238779,-73.99224,0,9/29/13 3:07,samsung d2att,4.1.1,1
40.7778485,-73.9197378,0,9/29/13 4:28,samsung d2att,4.1.1,1
40.7776856,-73.9175684,0,9/29/13 16:27,samsung d2att,4.1.1,1
40.774027,-73.913102,0,9/29/13 16:48,samsung d2att,4.1.1,1
40.7580237,-73.927841,0,9/29/13 17:08,samsung d2att,4.1.1,1
40.7336926,-73.9942002,0,9/29/13 17:37,samsung d2att,4.1.1,1
40.7300824,-73.9928925,0,9/29/13 17:57,samsung d2att,4.1.1,1
40.7271987,-73.9953073,0,9/30/13 0:07,samsung d2att,4.1.1,1
40.7300861,-73.9928944,0,9/30/13 0:17,samsung d2att,4.1.1,1
40.7296701,-73.9933999,0,9/30/13 0:27,samsung d2att,4.1.1,1
40.76636191,-73.9218856,-4.099999905,9/30/13 4:09,samsung d2att,4.1.1,1
40.7745833,-73.9125245,0,9/30/13 4:17,samsung d2att,4.1.1,1
40.7775555,-73.9173931,0,9/30/13 4:27,samsung d2att,4.1.1,1
40.7778612,-73.9197,0,9/30/13 4:37,samsung d2att,4.1.1,1
40.77781798,-73.9196721,-8,9/30/13 13:23,samsung d2att,4.1.1,1
40.7765192,-73.9147938,0,9/30/13 13:27,samsung d2att,4.1.1,1
40.7711557,-73.9154755,0,9/30/13 13:37,samsung d2att,4.1.1,1
40.7487135,-73.9366484,0,9/30/13 13:47,samsung d2att,4.1.1,1
40.7196606,-74.0008079,0,9/30/13 14:17,samsung d2att,4.1.1,1
40.7209671,-74.0048922,0,9/30/13 14:27,samsung d2att,4.1.1,1
40.721941,-74.0072026,0,9/30/13 14:37,samsung d2att,4.1.1,1
40.7232016,-74.0082737,0,9/30/13 14:47,samsung d2att,4.1.1,1
40.7336926,-73.9942002,0,9/30/13 17:37,samsung d2att,4.1.1,1
40.7313205,-73.9967245,0,9/30/13 17:57,samsung d2att,4.1.1,1
40.7300861,-73.9928944,0,9/30/13 18:27,samsung d2att,4.1.1,1
40.71969011,-74.00246361,-16.89999962,9/30/13 21:48,samsung d2att,4.1.1,1
40.7219586,-74.0045485,0,9/30/13 21:57,samsung d2att,4.1.1,1
40.721941,-74.0072026,0,9/30/13 22:07,samsung d2att,4.1.1,1
40.7249784,-74.0015191,0,9/30/13 22:37,samsung d2att,4.1.1,1
40.7225963,-74.0009635,0,9/30/13 22:56,samsung d2att,4.1.1,1
40.7255043,-73.9956055,0,9/30/13 23:06,samsung d2att,4.1.1,1
40.7295009,-73.9934916,0,9/30/13 23:16,samsung d2att,4.1.1,1
40.7337068,-73.9908935,0,10/1/13 0:26,samsung d2att,4.1.1,1
40.7429992,-73.9886305,0,10/1/13 0:37,samsung d2att,4.1.1,1
40.7585445,-73.9564601,0,10/1/13 0:47,samsung d2att,4.1.1,1
40.7487135,-73.9366484,0,10/1/13 0:56,samsung d2att,4.1.1,1
40.7711557,-73.9154755,0,10/1/13 1:06,samsung d2att,4.1.1,1
40.7719121,-73.9159882,0,10/1/13 12:37,samsung d2att,4.1.1,1
40.7655711,-73.9162748,0,10/1/13 12:47,samsung d2att,4.1.1,1
40.7231637,-74.0082375,0,10/1/13 13:27,samsung d2att,4.1.1,1
40.7218875,-74.0043273,0,10/1/13 15:07,samsung d2att,4.1.1,1
40.7337018,-73.9942075,0,10/1/13 15:27,samsung d2att,4.1.1,1
40.7313216,-73.9967214,0,10/1/13 15:57,samsung d2att,4.1.1,1
40.7300636,-73.9923872,0,10/1/13 16:17,samsung d2att,4.1.1,1
40.7295658,-73.9935977,0,10/1/13 16:27,samsung d2att,4.1.1,1
40.7580204,-73.927718,0,10/1/13 19:37,samsung d2att,4.1.1,1
40.7711557,-73.9154755,0,10/1/13 19:47,samsung d2att,4.1.1,1
40.7778112,-73.9197731,0,10/1/13 19:57,samsung d2att,4.1.1,1
40.7777862,-73.9197754,0,10/1/13 22:56,samsung d2att,4.1.1,1
